dataset,method,family,n,mean_rmse,std_rmse,median_rmse,mean_r2,std_r2,n_failures,frac_converged
exponential_multiplicative,log_smear,linearized_ols,10,7.581126422199494,2.4981413402112254,7.867517575488044,0.8081974701079483,0.1106468266100723,0,
exponential_multiplicative,yeojohnson_smear,linearized_ols,10,7.620045449875346,2.54380213071296,7.725660790626666,0.8075965759030233,0.10841461010865143,0,
exponential_multiplicative,boxcox_smear,linearized_ols,10,7.656648014586591,2.5679110570071155,7.867517575488044,0.8074017456909433,0.10299846358433404,0,
exponential_multiplicative,log_no_smear,linearized_ols,10,7.664116062268123,2.6713709779126433,8.251378673214633,0.8110477704966161,0.09269508750797277,0,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,10,7.682552856768775,2.735335816203377,8.16897656221471,0.8112895125899738,0.09124033607214055,0,
exponential_multiplicative,GD,nonlinear,10,7.6949550296212434,2.560056606482211,7.919880541644977,0.803812368616511,0.10976294080197636,0,0.3
exponential_multiplicative,BFGS,nonlinear,10,7.7011779174265955,2.5609543380849504,7.923851469497616,0.8035636984911003,0.10980149143032948,0,1.0
exponential_multiplicative,GN,nonlinear,10,7.701177922733646,2.560954340361251,7.923851469617495,0.8035636982344275,0.1098014916737013,0,1.0
exponential_multiplicative,ZZU,zzu_hybrid,10,7.706256189543706,2.5687321447275533,7.940828765575333,0.8033687847198203,0.1101399886316517,0,1.0
exponential_multiplicative,boxcox_no_smear,linearized_ols,10,7.710488766416679,2.7515664057892977,8.251378673214633,0.8106107636364233,0.08909970760870092,0,
exponential_multiplicative,power_0.5_smear,linearized_ols,10,8.907500323013219,3.130794409945953,9.179098234032374,0.7594141023583697,0.07651353030645285,0,
exponential_multiplicative,identity,linearized_ols,10,10.451256355587654,2.772742688152254,10.637081655557317,0.647608308223653,0.13675757587812243,0,
exponential_multiplicative,power_2_smear,linearized_ols,10,18.12785430606469,1.2555714967333358,18.17235002484033,-0.39309123346594976,1.2950547196174722,0,
exponential_multiplicative,reciprocal_smear,linearized_ols,10,57.01088879017632,61.06135101513539,38.2029851815127,-54.28595292134006,162.22148698312964,0,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,10,121.16469921524774,182.0294412295806,62.15337280204578,-119.86081880639487,319.30364287568796,0,
logistic_growth,ZZU,zzu_hybrid,10,3.0654398824376368,0.35352769950003826,3.1058211865582592,0.9937654511553161,0.0015112168679570896,0,1.0
logistic_growth,GN,nonlinear,10,3.067228193878611,0.3615860163795732,3.113733406784071,0.9937584231078878,0.001535206515550355,0,1.0
logistic_growth,BFGS,nonlinear,10,3.0672281947447253,0.36158601657819317,3.1137334150235345,0.993758423104665,0.001535206514206746,0,1.0
logistic_growth,GD,nonlinear,10,4.729663578032069,0.42463638605374837,4.821444232092332,0.9852013727076885,0.0029406645694213286,0,0.0
