dataset,method,family,n,mean_rmse,mean_fit_time_sec,std_fit_time_sec,mean_n_iter,mean_n_model_evals
exponential_additive,GD,nonlinear,10,5.1367358850794,0.12416495419999998,0.001197179518999192,5000.0,35001.0
exponential_additive,BFGS,nonlinear,10,5.142040964727519,0.0014798916000000161,0.00011164203021282032,19.8,300.6
exponential_additive,GN,nonlinear,10,5.1420409649946635,0.0008340749000000702,0.00011330348774314249,23.4,164.8
exponential_additive,boxcox_smear,linearized_ols,10,6.58510130285786,0.005498341699999987,0.00026926582427575576,,
exponential_additive,boxcox_no_smear,linearized_ols,10,6.855317165127028,0.005434116800000055,5.4259414152530816e-05,,
exponential_additive,power_0.5_smear,linearized_ols,10,7.108370185178127,2.85166000000725e-05,5.798996465243414e-07,,
exponential_additive,yeojohnson_smear,linearized_ols,10,7.208047934634321,0.006056029100000071,0.00012149856461192966,,
exponential_additive,yeojohnson_no_smear,linearized_ols,10,7.35394859948746,0.006054783199999925,8.461169459331133e-05,,
exponential_additive,identity,linearized_ols,10,9.433951989526992,3.0320699999952792e-05,6.35090595543974e-06,,
exponential_additive,ZZU,zzu_hybrid,10,10.75405521056731,0.002437162699999984,0.0011755406963444772,25.9,399.4
exponential_additive,BFGS_warmstart,nonlinear,10,14.3369262094667,0.0019467041000000406,0.0011107495536730428,25.9,398.4
exponential_additive,power_2_smear,linearized_ols,10,15.07660549935297,2.7633299999996197e-05,6.35945499036791e-07,,
exponential_additive,reciprocal_smear,linearized_ols,10,25.5916013045535,2.6045899999926902e-05,1.0014990375621949e-06,,
exponential_additive,reciprocal_no_smear,linearized_ols,10,25.591609606898697,2.7445899999944957e-05,6.843102690618015e-07,,
exponential_additive,log_no_smear,linearized_ols,10,31.868133559312803,2.8441599999950996e-05,1.7666625284044055e-06,,
exponential_additive,log_smear,linearized_ols,10,865.3916306345894,2.598739999997157e-05,8.208009909465762e-07,,
exponential_multiplicative,log_smear,linearized_ols,10,7.581126422199494,2.8000199999977937e-05,3.341172275968219e-06,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,10,7.620045449875346,0.00614002919999993,0.00018459065424507564,,
exponential_multiplicative,boxcox_smear,linearized_ols,10,7.656648014586591,0.005576933299999998,0.00016054885609271885,,
exponential_multiplicative,log_no_smear,linearized_ols,10,7.664116062268123,3.062489999996476e-05,6.191451211137992e-06,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,10,7.682552856768775,0.006202333300000007,0.00028606264459539406,,
exponential_multiplicative,GD,nonlinear,10,7.6949550296212434,0.11414417899999998,0.020255874264906906,4524.0,31669.0
exponential_multiplicative,BFGS,nonlinear,10,7.7011779174265955,0.001064096000000081,0.00020320997972648615,12.6,204.8
exponential_multiplicative,BFGS_warmstart,nonlinear,10,7.7011779212880995,0.0007362334000000192,3.216660577953779e-05,9.2,146.9
exponential_multiplicative,GN,nonlinear,10,7.701177922733646,0.0008852998000000278,0.0002858557495325386,22.7,159.9
exponential_multiplicative,ZZU,zzu_hybrid,10,7.706256189543706,0.001319366900000052,0.00035375161011913097,9.2,147.9
exponential_multiplicative,boxcox_no_smear,linearized_ols,10,7.710488766416679,0.00569701250000002,0.0005092949410290812,,
exponential_multiplicative,power_0.5_smear,linearized_ols,10,8.907500323013219,3.1300000000000774e-05,3.6543902364218354e-06,,
exponential_multiplicative,identity,linearized_ols,10,10.451256355587654,0.00014681250000003754,0.0003729105300066286,,
exponential_multiplicative,power_2_smear,linearized_ols,10,18.12785430606469,2.7920799999958667e-05,1.056219653155722e-06,,
exponential_multiplicative,reciprocal_smear,linearized_ols,10,57.01088879017632,2.7099999999979917e-05,1.861784329326527e-06,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,10,121.16469921524774,2.839990000003123e-05,1.8545088867676516e-06,,
logistic_growth,ZZU,zzu_hybrid,10,3.0654398824376368,0.010934145800000027,0.003301004031303046,12.7,247.2
logistic_growth,GN,nonlinear,10,3.067228193878611,0.00047537499999972255,3.601347364853942e-05,6.6,60.4
logistic_growth,BFGS,nonlinear,10,3.0672281947447253,0.0018799084000002074,0.00015673399699205724,12.7,246.2
logistic_growth,GD,nonlinear,10,4.729663578032069,0.2878591542000001,0.00579386631407366,5000.0,45001.0
logistic_growth,identity,linearized_ols,10,11.408380558846002,3.507500000017316e-05,1.2085797835942927e-05,,
logistic_growth,yeojohnson_smear,linearized_ols,10,13.48069952747613,0.00651362080000002,0.00024246136786694507,,
