dataset,method,family,seed,converged,n_iter,error,n_valid,rmse,mae,mse,r2,zzu_best_transform
exponential_multiplicative,identity,linearized_ols,0,,,,24,9.595590779361169,6.423202347015654,92.0753624049611,0.7648785315005545,
exponential_multiplicative,log_no_smear,linearized_ols,0,,,,24,8.987496281346392,4.999646994836044,80.7750894072152,0.7937346414552353,
exponential_multiplicative,log_smear,linearized_ols,0,,,,24,9.234351907117809,5.457147073285827,85.2732551444903,0.7822482317786656,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,0,,,,24,634.1929989998225,179.8412974111932,402200.7599803889,-1026.0503514530478,
exponential_multiplicative,reciprocal_smear,linearized_ols,0,,,,24,38.173888585179654,25.116614327657118,1457.2457697137097,-2.7211883438780906,
exponential_multiplicative,power_0.5_smear,linearized_ols,0,,,,24,8.720972744767826,4.58472573465965,76.05536561498327,0.8057868165426456,
exponential_multiplicative,power_2_smear,linearized_ols,0,,,,24,16.90269499886138,14.44034325427481,285.7010982245336,0.2704404304051129,
exponential_multiplicative,boxcox_no_smear,linearized_ols,0,,,,24,9.128409408717067,5.152678140484469,83.32785833315428,0.787215951081075,
exponential_multiplicative,boxcox_smear,linearized_ols,0,,,,24,9.466859069509862,5.648924567883173,89.62142064196114,0.7711448591680042,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,0,,,,24,9.219480062676766,5.172207810494253,84.99881262609439,0.7829490417049967,
exponential_multiplicative,yeojohnson_smear,linearized_ols,0,,,,24,9.640455805093868,5.711399231034733,92.93838812996806,0.7626747294136946,
exponential_multiplicative,GD,nonlinear,0,True,3643.0,,24,9.606394356568273,5.742461567531,92.28281253390678,0.7643487917560223,
exponential_multiplicative,GN,nonlinear,0,True,23.0,,24,9.601674424000677,5.742196737651811,92.19215174450875,0.764580301004336,
exponential_multiplicative,BFGS,nonlinear,0,True,14.0,,24,9.601674423965012,5.7421967376329475,92.19215174382384,0.764580301006085,
exponential_multiplicative,ZZU,zzu_hybrid,0,True,10.0,,24,9.619112026711411,5.775767205309624,92.5273161824241,0.7637244330199685,log_smear
exponential_multiplicative,identity,linearized_ols,1,,,,24,8.00349267855847,6.882237915566582,64.05589505573901,0.45035034376832317,
exponential_multiplicative,log_no_smear,linearized_ols,1,,,,24,6.646074618685856,3.3777121825738177,44.17030783714034,0.6209842279589479,
exponential_multiplicative,log_smear,linearized_ols,1,,,,24,7.232249601988213,3.682623910199293,52.305434305458675,0.5511784831040601,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,1,,,,24,97.05957126175727,26.83365164009319,9420.560373516137,-79.83577266865439,
exponential_multiplicative,reciprocal_smear,linearized_ols,1,,,,24,16.156170824889006,9.44150032088689,261.02185572299476,-1.239771579840634,
exponential_multiplicative,power_0.5_smear,linearized_ols,1,,,,24,5.687385634450512,3.9112589536168145,32.34635535495405,0.722442983807698,
exponential_multiplicative,power_2_smear,linearized_ols,1,,,,24,19.162937180871776,18.15826608429813,367.2181613980379,-2.1510189030818365,
