dataset,method,family,seed,fit_time_sec,n_iter,n_model_evals,rmse,converged,error,theta_init_source,zzu_best_transform
exponential_multiplicative,yeojohnson_smear,linearized_ols,3,0.006029625000000038,,,3.79335389902772,,,,
exponential_multiplicative,GD,nonlinear,3,0.068815917,2778.0,19447.0,3.553961878955337,True,,heuristic,
exponential_multiplicative,GN,nonlinear,3,0.0007822079999999509,23.0,162.0,3.5545112933028995,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,3,0.0007817500000000255,10.0,158.0,3.5545112932996954,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,3,0.001044792000000072,8.0,136.0,3.5487356446843066,True,,,log_smear
exponential_multiplicative,BFGS_warmstart,nonlinear,3,0.0006623329999999594,8.0,135.0,3.5545112932991727,True,,zzu_screen,
exponential_multiplicative,identity,linearized_ols,4,2.7041000000060933e-05,,,15.379202479606043,,,,
exponential_multiplicative,log_no_smear,linearized_ols,4,2.7291999999956573e-05,,,12.717122203830947,,,,
exponential_multiplicative,log_smear,linearized_ols,4,2.545899999994994e-05,,,12.451649898517681,,,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,4,2.641699999994529e-05,,,44.828720682037776,,,,
exponential_multiplicative,reciprocal_smear,linearized_ols,4,2.5332999999960748e-05,,,66.14743430119726,,,,
exponential_multiplicative,power_0.5_smear,linearized_ols,4,2.7707999999959654e-05,,,14.284510494970473,,,,
exponential_multiplicative,power_2_smear,linearized_ols,4,2.683299999994837e-05,,,18.64636478852252,,,,
exponential_multiplicative,boxcox_no_smear,linearized_ols,4,0.005395292000000218,,,13.015092628516522,,,,
exponential_multiplicative,boxcox_smear,linearized_ols,4,0.005377125000000094,,,12.795021457666138,,,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,4,0.006035749999999895,,,12.913985560086815,,,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,4,0.005982582999999986,,,12.65035205635565,,,,
exponential_multiplicative,GD,nonlinear,4,0.12473325000000002,5000.0,35001.0,12.64942433160876,False,,heuristic,
exponential_multiplicative,GN,nonlinear,4,0.0008792079999999647,23.0,162.0,12.6544782533062,True,,heuristic,
exponential_multiplicative,BFGS,nonlinear,4,0.001099167000000012,13.0,211.0,12.654478253309442,True,,heuristic,
exponential_multiplicative,ZZU,zzu_hybrid,4,0.0013919589999999982,9.0,144.0,12.655195483551246,True,,,log_smear
