dataset,method,family,n,mean_rmse,std_rmse,median_rmse,mean_r2,std_r2,n_failures,frac_converged
exponential_additive,GD,nonlinear,10,5.13674109398573,0.5405342944068006,5.101435922672416,0.9046269813359743,0.03678220347038713,0,0.0
exponential_additive,BFGS,nonlinear,10,5.142040964221001,0.548595119653844,5.102020252161715,0.9044172616446984,0.036940369942950156,0,1.0
exponential_additive,GN,nonlinear,10,5.142040965269405,0.5485951191426839,5.10202025204779,0.9044172615875803,0.03694037003119063,0,1.0
exponential_additive,boxcox_smear,linearized_ols,10,6.585101302857862,1.118930789764879,6.466391583629196,0.8487018473100774,0.04095052303709493,0,
exponential_additive,boxcox_no_smear,linearized_ols,10,6.8553171651270315,1.1178966115511724,6.818944317802714,0.8386336498053385,0.03398026372532579,0,
exponential_additive,power_0.5_smear,linearized_ols,10,7.108370185178131,1.2089521029165444,7.158928082036136,0.8260999408971758,0.038948945809472606,0,
exponential_additive,yeojohnson_smear,linearized_ols,10,7.208047934634325,1.242082885084883,7.288600176587725,0.8213433872696833,0.04014569948331974,0,
exponential_additive,yeojohnson_no_smear,linearized_ols,10,7.353948599487467,1.2655786750368136,7.381197331408357,0.8160076907510166,0.033344187737223786,0,
exponential_additive,identity,linearized_ols,10,9.433951989526992,1.0173560495848661,9.376969019422479,0.6888271616535799,0.07817430457227165,0,
exponential_additive,ZZU,zzu_hybrid,10,10.754055210581857,7.192029956946088,5.815070260215846,0.5105329599287246,0.4941302253006759,0,1.0
exponential_additive,power_2_smear,linearized_ols,10,15.076605499352974,1.0491782627748847,15.235153374726119,0.14767963677161514,0.4291887611039699,0,
exponential_additive,reciprocal_smear,linearized_ols,10,25.5916013045535,4.364671679320122,27.00747343711871,-1.202737677544445,0.25670125579500924,0,
exponential_additive,reciprocal_no_smear,linearized_ols,10,25.591609606898697,4.364678986282079,27.007481303399818,-1.2027389673953004,0.2567016279651393,0,
exponential_additive,log_no_smear,linearized_ols,10,31.868133559312714,19.023247938668796,24.93706075878105,-2.9835447106185873,4.277614671203848,0,
exponential_additive,log_smear,linearized_ols,10,865.391630634586,623.9185663570846,717.6132664144541,-3335.3489364452425,4066.612140772731,0,
exponential_multiplicative,log_smear,linearized_ols,10,7.5811264221995005,2.4981413402112294,7.867517575488048,0.8081974701079482,0.11064682661007244,0,
exponential_multiplicative,yeojohnson_smear,linearized_ols,10,7.620045449875353,2.5438021307129626,7.725660790626664,0.807596575903023,0.10841461010865162,0,
exponential_multiplicative,boxcox_smear,linearized_ols,10,7.656648014586598,2.567911057007121,7.867517575488048,0.807401745690943,0.10299846358433407,0,
exponential_multiplicative,log_no_smear,linearized_ols,10,7.664116062268131,2.6713709779126527,8.251378673214631,0.8110477704966158,0.09269508750797306,0,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,10,7.682552856768784,2.73533581620338,8.168976562214704,0.8112895125899737,0.09124033607214026,0,
exponential_multiplicative,GD,nonlinear,10,7.694956774124536,2.5600573681549696,7.919880541644279,0.8038121224672027,0.1097637774592104,0,0.3
exponential_multiplicative,GN,nonlinear,10,7.701177921291841,2.560954341801422,7.923851469617366,0.8035636984214094,0.10980149134001013,0,1.0
exponential_multiplicative,BFGS,nonlinear,10,7.7011779223164,2.5609543402387316,7.92385146949951,0.8035636983363699,0.10980149133839263,0,1.0
exponential_multiplicative,ZZU,zzu_hybrid,10,7.706256188819033,2.5687321444758275,7.94082876558476,0.8033687848151784,0.11013998832484206,0,1.0
exponential_multiplicative,boxcox_no_smear,linearized_ols,10,7.710488766416701,2.751566405789305,8.251378673214631,0.8106107636364218,0.08909970760870288,0,
exponential_multiplicative,power_0.5_smear,linearized_ols,10,8.907500323013222,3.1307944099459566,9.179098234032375,0.7594141023583696,0.07651353030645286,0,
exponential_multiplicative,identity,linearized_ols,10,10.451256355587656,2.7727426881522566,10.637081655557317,0.6476083082236529,0.13675757587812243,0,
exponential_multiplicative,power_2_smear,linearized_ols,10,18.127854306064695,1.2555714967333342,18.172350024840327,-0.39309123346595004,1.2950547196174722,0,
exponential_multiplicative,reciprocal_smear,linearized_ols,10,57.01088879018404,61.061351015178445,38.2029851815149,-54.28595292140162,162.2214869833301,0,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,10,121.16469921523644,182.02944122954318,62.153372802045865,-119.86081880635668,319.30364287556597,0,
logistic_growth,ZZU,zzu_hybrid,10,3.06543988243729,0.35352769950145907,3.105821186558997,0.993765451155317,0.0015112168679626255,0,1.0
logistic_growth,GN,nonlinear,10,3.0672281938788495,0.36158601638119037,3.113733406785871,0.9937584231078868,0.0015352065155551215,0,1.0
