dataset,method,family,n,mean_rmse,mean_fit_time_sec,std_fit_time_sec,mean_n_iter,mean_n_model_evals
exponential_additive,GD,nonlinear,10,5.13674109398573,0.12361242350161775,0.0025380178112918658,5000.0,35001.0
exponential_additive,BFGS,nonlinear,10,5.142040964221001,0.0015387203995487653,0.0001291087659969874,19.8,301.0
exponential_additive,GN,nonlinear,10,5.142040965269405,0.0010247869999147952,0.000111856029884395,23.4,164.8
exponential_additive,boxcox_smear,linearized_ols,10,6.585101302857862,0.006711653398815543,0.0001335769779210732,,
exponential_additive,boxcox_no_smear,linearized_ols,10,6.8553171651270315,0.006751163098670077,0.00012821436801516858,,
exponential_additive,power_0.5_smear,linearized_ols,10,7.108370185178131,4.400260077090934e-05,2.7724239321101676e-06,,
exponential_additive,yeojohnson_smear,linearized_ols,10,7.208047934634325,0.007381370998336934,0.00023301411744540613,,
exponential_additive,yeojohnson_no_smear,linearized_ols,10,7.353948599487467,0.007458655303344131,0.00020822960366674882,,
exponential_additive,identity,linearized_ols,10,9.433951989526992,5.882560071768239e-05,5.913394647979284e-06,,
exponential_additive,ZZU,zzu_hybrid,10,10.754055210581857,0.0029986252993694507,0.0011041259879852046,25.7,398.5
exponential_additive,BFGS_warmstart,nonlinear,10,14.336926209421481,0.002032890796544962,0.0010886072425197342,25.7,397.5
exponential_additive,power_2_smear,linearized_ols,10,15.076605499352974,4.1954597691074014e-05,2.747347797908836e-06,,
exponential_additive,reciprocal_smear,linearized_ols,10,25.5916013045535,4.010080156149343e-05,1.6380087897669293e-06,,
exponential_additive,reciprocal_no_smear,linearized_ols,10,25.591609606898697,4.6316400403156874e-05,1.9489779270385827e-06,,
exponential_additive,log_no_smear,linearized_ols,10,31.868133559312714,7.289879868039861e-05,8.133581018456987e-05,,
exponential_additive,log_smear,linearized_ols,10,865.391630634586,4.162979748798534e-05,1.727611309109485e-06,,
exponential_multiplicative,log_smear,linearized_ols,10,7.5811264221995005,4.24148965976201e-05,5.634620615487866e-06,,
exponential_multiplicative,yeojohnson_smear,linearized_ols,10,7.620045449875353,0.007436490000691265,0.0002525924125384593,,
exponential_multiplicative,boxcox_smear,linearized_ols,10,7.656648014586598,0.006714471901068464,0.00018614074394426213,,
exponential_multiplicative,log_no_smear,linearized_ols,10,7.664116062268131,4.9771898193284866e-05,9.062620639600677e-06,,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,10,7.682552856768784,0.007608938802150078,0.00024962122473226654,,
exponential_multiplicative,GD,nonlinear,10,7.694956774124536,0.1118179038996459,0.019926560354109068,4524.0,31669.0
exponential_multiplicative,GN,nonlinear,10,7.701177921291841,0.0009825081011513247,8.718068806402392e-05,22.8,160.6
exponential_multiplicative,BFGS_warmstart,nonlinear,10,7.701177921483579,0.0007812957002897747,5.6588740762071936e-05,9.3,149.4
exponential_multiplicative,BFGS,nonlinear,10,7.7011779223164,0.0011047147010685876,0.00017893909316201592,12.7,206.7
exponential_multiplicative,ZZU,zzu_hybrid,10,7.706256188819033,0.0016740430015488527,0.00010251632726160706,9.3,150.4
exponential_multiplicative,boxcox_no_smear,linearized_ols,10,7.710488766416701,0.006884902100136969,0.00035241351551516635,,
exponential_multiplicative,power_0.5_smear,linearized_ols,10,8.907500323013222,4.3500396714080125e-05,3.5765333682699027e-06,,
exponential_multiplicative,identity,linearized_ols,10,10.451256355587656,6.613029981963336e-05,2.9041539252915334e-05,,
exponential_multiplicative,power_2_smear,linearized_ols,10,18.127854306064695,4.059519997099414e-05,2.512448316622373e-06,,
exponential_multiplicative,reciprocal_smear,linearized_ols,10,57.01088879018404,4.0779399569146335e-05,3.5147599227271523e-06,,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,10,121.16469921523644,4.569190205074847e-05,6.140033141883467e-06,,
logistic_growth,ZZU,zzu_hybrid,10,3.06543988243729,0.012683385702257511,0.003719228980391515,12.7,247.2
logistic_growth,GN,nonlinear,10,3.0672281938788495,0.00056128480064217,3.906633045028066e-05,6.6,60.4
logistic_growth,BFGS,nonlinear,10,3.067228194744256,0.0019089105029706844,0.00014884086659326692,12.7,246.2
logistic_growth,GD,nonlinear,10,4.729663578032133,0.2810860866025905,0.00178210580832634,5000.0,45001.0
logistic_growth,identity,linearized_ols,10,11.408380558845998,6.438309792429208e-05,6.048691960080468e-06,,
logistic_growth,yeojohnson_smear,linearized_ols,10,13.48069952747613,0.0075158319988986476,5.553630227174615e-05,,
logistic_growth,yeojohnson_no_smear,linearized_ols,10,13.482390831315513,0.007632068102248013,4.0298203114141845e-05,,
logistic_growth,reciprocal_smear,linearized_ols,10,110.39805230388131,4.237139801261946e-05,1.944971818696241e-06,,
logistic_growth,reciprocal_no_smear,linearized_ols,10,282.16647849716276,7.396510191028937e-05,8.171713389661433e-05,,
logistic_growth,boxcox_no_smear,linearized_ols,10,,,,,
logistic_growth,boxcox_smear,linearized_ols,10,,,,,
logistic_growth,log_no_smear,linearized_ols,10,,,,,
logistic_growth,log_smear,linearized_ols,10,,,,,
logistic_growth,power_0.5_smear,linearized_ols,10,,,,,
logistic_growth,power_2_smear,linearized_ols,10,,,,,
michaelis_menten,BFGS,nonlinear,10,0.296731102304881,0.0011480076995212586,0.0001279550503331123,15.2,216.6
michaelis_menten,GN,nonlinear,10,0.29673110280070325,0.0005653344021993689,3.257470547911315e-05,12.1,85.7
michaelis_menten,ZZU,zzu_hybrid,10,0.2967629527329921,0.002229507597803604,0.00018589813402655623,15.2,217.6
michaelis_menten,boxcox_smear,linearized_ols,10,1.0577150002272497,0.0067694042998482475,0.0003176070709841435,,
michaelis_menten,power_2_smear,linearized_ols,10,1.0577150002272497,4.157719959039241e-05,2.4657631198172393e-06,,
michaelis_menten,yeojohnson_smear,linearized_ols,10,1.0643249711390717,0.007545476098312065,0.00048185346469114816,,
michaelis_menten,boxcox_no_smear,linearized_ols,10,1.078467784068717,0.006845293098012917,0.00030399791194553295,,
michaelis_menten,yeojohnson_no_smear,linearized_ols,10,1.079768374778266,0.007402602401270997,0.0003457057867019008,,
michaelis_menten,identity,linearized_ols,10,1.1417830058905185,6.336120277410373e-05,4.093082545508901e-06,,
michaelis_menten,power_0.5_smear,linearized_ols,10,1.233743239970131,4.495510074775666e-05,5.9239005159313835e-06,,
michaelis_menten,log_no_smear,linearized_ols,10,1.441946435399432,8.198500290745869e-05,9.609793492740454e-05,,
michaelis_menten,log_smear,linearized_ols,10,1.4790982629546765,4.612289776559919e-05,1.5458020817330813e-05,,
michaelis_menten,GD,nonlinear,10,2.4460338580414938,0.12719913410255684,0.003208375164494768,5000.0,35001.0
michaelis_menten,reciprocal_no_smear,linearized_ols,10,4.3071455587071314,4.6278600348159674e-05,4.590564017575623e-06,,
michaelis_menten,reciprocal_smear,linearized_ols,10,79.11431095397816,4.0801100840326396e-05,2.4406316602528457e-06,,
multivariable_nonlinear,ZZU,zzu_hybrid,10,4.6539860119139576,0.03900583660288248,0.006992051479967049,43.44444444444444,1053.7
multivariable_nonlinear,GN,nonlinear,10,4.745290159063156,0.004714402699028142,0.0004056682950994984,26.2,341.6
multivariable_nonlinear,BFGS,nonlinear,10,4.745290159144244,0.014852588501526043,0.0011235492456097393,43.1,1160.6
multivariable_nonlinear,GD,nonlinear,10,4.901764340857618,0.7638457101013045,0.006167584503232303,5000.0,65001.0
multivariable_nonlinear,yeojohnson_smear,linearized_ols,10,5.093446002958464,0.010579773900099098,0.00014463772725035882,,
multivariable_nonlinear,yeojohnson_no_smear,linearized_ols,10,5.100961358016776,0.010733743201126345,0.0001755769882956867,,
multivariable_nonlinear,boxcox_smear,linearized_ols,10,5.555385619295785,0.009585689498635475,0.00013377824394602636,,
multivariable_nonlinear,boxcox_no_smear,linearized_ols,10,5.556230105632864,0.009780369495274499,0.000264078220437015,,
multivariable_nonlinear,power_0.5_smear,linearized_ols,10,5.7382724024769605,8.097650425042957e-05,5.206432300595504e-06,,
multivariable_nonlinear,identity,linearized_ols,10,5.874271421519046,0.00013002920168219133,0.00011972702300805712,,
multivariable_nonlinear,power_2_smear,linearized_ols,10,10.862937214228221,7.247349276440218e-05,2.7414487584264995e-06,,
multivariable_nonlinear,log_no_smear,linearized_ols,10,11.832136683568937,7.39044917281717e-05,7.903336696911736e-06,,
multivariable_nonlinear,log_smear,linearized_ols,10,13.126348396384298,6.105549982748926e-05,5.08196738858677e-06,,
multivariable_nonlinear,reciprocal_no_smear,linearized_ols,10,151.87033763387998,7.557550125056878e-05,1.2369447223282468e-05,,
multivariable_nonlinear,reciprocal_smear,linearized_ols,10,213.60276699619786,6.181390344863757e-05,4.2093881904241336e-06,,
