dataset,method,variant,seed,fit_time_sec,n_iter,converged,rmse,fit_error
exponential_additive,gradient_descent,zzu,3,0.11746351199690253,5000.0,False,17.01166830125931,
exponential_additive,gradient_descent,pure,4,0.11780305299907923,5000.0,False,5.677504794368475,
exponential_additive,gradient_descent,zzu,4,0.11305516900029033,5000.0,False,19.51080446202224,
exponential_additive,gradient_descent,pure,5,0.11216278599749785,5000.0,False,4.790126148055813,
exponential_additive,gradient_descent,zzu,5,0.11259932100074366,5000.0,False,12.449835114381292,
exponential_additive,gradient_descent,pure,6,0.11318462700000964,5000.0,False,5.27623914375424,
exponential_additive,gradient_descent,zzu,6,0.11314744199626148,5000.0,False,18.610246325160055,
exponential_additive,gradient_descent,pure,7,0.1125326990004396,5000.0,False,5.826691572756086,
exponential_additive,gradient_descent,zzu,7,0.11310780599887948,5000.0,False,18.438472685576805,
exponential_additive,gradient_descent,pure,8,0.11317114900157321,5000.0,False,5.203399053371881,
exponential_additive,gradient_descent,zzu,8,0.11262767598964274,5000.0,False,15.69100383529836,
exponential_additive,gradient_descent,pure,9,0.11287573698791675,5000.0,False,5.902997827797074,
exponential_additive,gradient_descent,zzu,9,0.11303824099013582,5000.0,False,19.448253074173934,
exponential_additive,gauss_newton,pure,0,0.0009867420012596995,24.0,True,4.272293072436064,
exponential_additive,gauss_newton,zzu,0,0.0017111199995269999,25.0,True,4.1793267472298234,
exponential_additive,gauss_newton,pure,1,0.0008496500086039305,21.0,True,4.680148395830449,
exponential_additive,gauss_newton,zzu,1,0.0016435490106232464,24.0,True,4.75321842900716,
exponential_additive,gauss_newton,pure,2,0.0010081439977511764,25.0,True,4.7265276768387565,
exponential_additive,gauss_newton,zzu,2,0.0017627329943934456,28.0,True,4.733273508230398,
exponential_additive,gauss_newton,pure,3,0.0008522440039087087,21.0,True,5.002795478433922,
exponential_additive,gauss_newton,zzu,3,0.0017018600046867505,26.0,True,4.99008255688889,
exponential_additive,gauss_newton,pure,4,0.0009859489946393296,25.0,True,5.696980345077609,
exponential_additive,gauss_newton,zzu,4,0.0016727809997973964,26.0,True,5.674534749818413,
exponential_additive,gauss_newton,pure,5,0.0008570640056859702,21.0,True,4.797266525670759,
exponential_additive,gauss_newton,zzu,5,0.0014005690027261153,18.0,True,4.699990152013146,
exponential_additive,gauss_newton,pure,6,0.001127538998844102,29.0,True,5.2829869833942755,
exponential_additive,gauss_newton,zzu,6,0.001701893997960724,26.0,True,5.288357033917901,
exponential_additive,gauss_newton,pure,7,0.0010408820089651272,26.0,True,5.820281901192113,
exponential_additive,gauss_newton,zzu,7,0.0022107400000095367,41.0,True,5.836011461789467,
exponential_additive,gauss_newton,pure,8,0.0008626380003988743,21.0,True,5.201245025661658,
exponential_additive,gauss_newton,zzu,8,0.0017306349909631535,27.0,True,5.11350021322313,
exponential_additive,gauss_newton,pure,9,0.0008440069941570982,21.0,True,5.939884248158438,
