dataset,method,variant,n,mean_rmse,std_rmse,mean_fit_time,std_fit_time,mean_n_iter,frac_converged
exponential_additive,bfgs,pure,10,5.142040964221001,0.548595119653844,0.001477997496840544,0.0001001185513286637,19.8,1.0
exponential_additive,bfgs,zzu,10,10.754055210581857,7.192029956946088,0.002622083100141026,0.0010150972691082094,25.7,1.0
exponential_additive,gauss_newton,pure,10,5.142040965269405,0.5485951191426839,0.0009414859014214016,0.00010121915558207098,23.4,1.0
exponential_additive,gauss_newton,zzu,10,5.12239006200056,0.5685250408630247,0.0016978488012682647,0.00021747320757536346,26.0,1.0
exponential_additive,gradient_descent,pure,10,5.13674109398573,0.5405342944068006,0.11347625669732224,0.0017533489786142361,5000.0,0.0
exponential_additive,gradient_descent,zzu,10,17.60376300600124,2.4655925094138604,0.11339732169726631,0.0014915009995262725,5000.0,0.0
exponential_multiplicative,bfgs,pure,10,7.7011779223164,2.5609543402387316,0.0010507257014978678,0.00014969587496825977,12.7,1.0
exponential_multiplicative,bfgs,zzu,10,7.706256188819033,2.5687321444758275,0.0014573064021533356,6.03476645076148e-05,9.3,1.0
exponential_multiplicative,gauss_newton,pure,10,7.701177921291841,2.560954341801422,0.0009017564021633007,6.664596667273652e-05,22.8,1.0
exponential_multiplicative,gauss_newton,zzu,10,7.706256190776481,2.5687321467351953,0.0009727409022161737,4.4327639409966764e-05,5.4,1.0
exponential_multiplicative,gradient_descent,pure,10,7.694956774124536,2.5600573681549696,0.10210439520014916,0.01834754350515479,4524.0,0.3
exponential_multiplicative,gradient_descent,zzu,10,7.6986580122658665,2.5676692380765838,0.10039469549810746,0.02017468105496318,4438.7,0.4
logistic_growth,bfgs,pure,10,3.067228194744256,0.3615860165797372,0.0018512634007493034,0.00013492309880931743,12.7,1.0
logistic_growth,bfgs,zzu,10,3.06543988243729,0.35352769950145907,0.012312838298385032,0.003665366559192349,12.7,1.0
logistic_growth,gauss_newton,pure,10,3.0672281938788495,0.36158601638119037,0.0005666902012308128,6.446760635185703e-05,6.6,1.0
logistic_growth,gauss_newton,zzu,10,3.0654398819821504,0.3535276997106929,0.01104537940263981,0.0037503220642124886,6.6,1.0
logistic_growth,gradient_descent,pure,10,4.729663578032133,0.42463638605384135,0.26584206910047214,0.0016352466440006355,5000.0,0.0
logistic_growth,gradient_descent,zzu,10,4.490785455234231,0.4364127150195746,0.2747421944965026,0.0034944540868684874,5000.0,0.0
michaelis_menten,bfgs,pure,10,0.296731102304881,0.05561265206125979,0.001089621199935209,9.814543136168482e-05,15.2,1.0
michaelis_menten,bfgs,zzu,10,0.2967629527329921,0.05567292109997775,0.0018610997998621316,9.81120134377135e-05,15.2,1.0
michaelis_menten,gauss_newton,pure,10,0.29673110280070325,0.05561265194221932,0.0005390459016780369,2.131383260493666e-05,12.1,1.0
michaelis_menten,gauss_newton,zzu,10,0.29676295310250167,0.05567292086809775,0.0013502450994565152,8.312156906411903e-05,12.1,1.0
michaelis_menten,gradient_descent,pure,10,2.4460338580414938,0.2215830135228428,0.11683830730034969,0.00038999762251129685,5000.0,0.0
michaelis_menten,gradient_descent,zzu,10,0.7534171900659415,0.09712558384058881,0.11713225230196259,0.00045168338784162566,5000.0,0.0
multivariable_nonlinear,bfgs,pure,10,4.745290159144244,0.4843321655098773,0.014504452799155843,0.0012132923652728705,43.1,1.0
multivariable_nonlinear,bfgs,zzu,10,4.6539860119139576,0.4113094053148332,0.037866258398571516,0.006822625401982452,43.44444444444444,1.0
multivariable_nonlinear,gauss_newton,pure,10,4.745290159063156,0.4843321653765928,0.004587237401574384,0.00036416054091485797,26.2,1.0
multivariable_nonlinear,gauss_newton,zzu,10,4.653986011942909,0.41130940521282083,0.028967723999812733,0.004158526762186474,26.333333333333332,1.0
multivariable_nonlinear,gradient_descent,pure,10,4.901764340857618,0.437341043568614,0.7409380438009976,0.004295779900996368,5000.0,0.0
multivariable_nonlinear,gradient_descent,zzu,10,4.808659531455081,0.3732204071641984,0.6942947488016216,0.23608280856031416,5000.0,0.0
