dataset,method,family,seed,converged,n_iter,error,n_valid,rmse,mae,mse,r2,zzu_best_transform
exponential_multiplicative,identity,linearized_ols,0,,,,24,9.59559077936117,6.4232023470156525,92.07536240496113,0.7648785315005544,
exponential_multiplicative,log_no_smear,linearized_ols,0,,,,24,8.98749628134637,4.999646994836012,80.77508940721484,0.7937346414552363,
exponential_multiplicative,log_smear,linearized_ols,0,,,,24,9.234351907117794,5.457147073285813,85.27325514449005,0.7822482317786663,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,0,,,,24,634.1929989997033,179.84129741116865,402200.75998023764,-1026.0503514526615,
exponential_multiplicative,reciprocal_smear,linearized_ols,0,,,,24,38.173888585181146,25.116614327658116,1457.2457697138234,-2.721188343878381,
exponential_multiplicative,power_0.5_smear,linearized_ols,0,,,,24,8.72097274476783,4.584725734659649,76.05536561498333,0.8057868165426455,
exponential_multiplicative,power_2_smear,linearized_ols,0,,,,24,16.90269499886139,14.440343254274815,285.70109822453384,0.27044043040511234,
exponential_multiplicative,boxcox_no_smear,linearized_ols,0,,,,24,9.128409408717083,5.152678140484458,83.32785833315455,0.7872159510810743,
exponential_multiplicative,boxcox_smear,linearized_ols,0,,,,24,9.46685906950986,5.648924567883168,89.6214206419611,0.7711448591680043,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,0,,,,24,9.219480062676746,5.1722078104942275,84.99881262609402,0.7829490417049977,
exponential_multiplicative,yeojohnson_smear,linearized_ols,0,,,,24,9.640455805093861,5.711399231034723,92.93838812996792,0.762674729413695,
exponential_multiplicative,GD,nonlinear,0,True,3643.0,,24,9.606394356569531,5.74246156753262,92.28281253393094,0.7643487917559607,
exponential_multiplicative,GN,nonlinear,0,True,23.0,,24,9.601674423984228,5.742196737647816,92.19215174419286,0.7645803010051427,
exponential_multiplicative,BFGS,nonlinear,0,True,14.0,,24,9.601674423968067,5.742196737632284,92.19215174388252,0.7645803010059352,
exponential_multiplicative,ZZU,zzu_hybrid,0,True,10.0,,24,9.619112026707226,5.775767205308767,92.52731618234361,0.763724433020174,log_smear
exponential_multiplicative,identity,linearized_ols,1,,,,24,8.00349267855847,6.882237915566584,64.05589505573903,0.45035034376832295,
exponential_multiplicative,log_no_smear,linearized_ols,1,,,,24,6.646074618685867,3.3777121825738203,44.170307837140484,0.6209842279589466,
exponential_multiplicative,log_smear,linearized_ols,1,,,,24,7.232249601988221,3.6826239101992955,52.30543430545879,0.5511784831040591,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,1,,,,24,97.05957126175754,26.833651640093247,9420.560373516191,-79.83577266865487,
exponential_multiplicative,reciprocal_smear,linearized_ols,1,,,,24,16.156170824889273,9.441500320887016,261.0218557230033,-1.2397715798407076,
exponential_multiplicative,power_0.5_smear,linearized_ols,1,,,,24,5.687385634450513,3.911258953616816,32.34635535495407,0.7224429838076978,
exponential_multiplicative,power_2_smear,linearized_ols,1,,,,24,19.162937180871772,18.158266084298127,367.2181613980378,-2.1510189030818356,
exponential_multiplicative,boxcox_no_smear,linearized_ols,1,,,,24,6.437530919983386,3.336755454342704,41.44180434574214,0.6443969209635332,
exponential_multiplicative,boxcox_smear,linearized_ols,1,,,,24,6.963815055415437,3.6147122689565037,48.49472012603071,0.5838773898463225,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,1,,,,24,6.529166571095063,3.3191052188006354,42.630016113105256,0.6342011350972477,
exponential_multiplicative,yeojohnson_smear,linearized_ols,1,,,,24,7.133349182085219,3.6281662612986616,50.88467055355586,0.5633697467986861,
exponential_multiplicative,GD,nonlinear,1,False,5000.0,,24,7.201272016509115,3.6613118639788964,51.858318655757266,0.5550150849178406,
exponential_multiplicative,GN,nonlinear,1,True,25.0,,24,7.206091184322196,3.6592152552177666,51.92775015676608,0.5544193083600713,
exponential_multiplicative,BFGS,nonlinear,1,True,11.0,,24,7.206091184174602,3.6592152535045934,51.92775015463891,0.554419308378324,
exponential_multiplicative,ZZU,zzu_hybrid,1,True,11.0,,24,7.21766601897933,3.6650877945503377,52.09470276152893,0.5529867244935116,log_smear
exponential_multiplicative,identity,linearized_ols,2,,,,24,12.985512246869012,8.30213754273676,168.6235283135851,0.6918621777300596,
exponential_multiplicative,log_no_smear,linearized_ols,2,,,,24,9.016626156727362,4.52142892000878,81.29954725018005,0.8514355280562331,
exponential_multiplicative,log_smear,linearized_ols,2,,,,24,8.362725747212167,4.383549394133044,69.93518192308531,0.87220244485837,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,2,,,,24,64.19288841804816,37.98705771420409,4120.726923451982,-6.5300987534804635,
exponential_multiplicative,reciprocal_smear,linearized_ols,2,,,,24,54.65813884151303,31.029687990642106,2987.512141618115,-4.459294408851759,
exponential_multiplicative,power_0.5_smear,linearized_ols,2,,,,24,11.702340394678021,6.273090948123593,136.94477071291294,0.7497510350971962,
exponential_multiplicative,power_2_smear,linearized_ols,2,,,,24,17.062933226067408,14.25863979431925,291.14369027723507,0.46797233110420233,
exponential_multiplicative,boxcox_no_smear,linearized_ols,2,,,,24,9.254797450309358,4.67085681523965,85.65127584625257,0.8434833034401646,
exponential_multiplicative,boxcox_smear,linearized_ols,2,,,,24,8.645204909758773,4.4789066387382865,74.73956793171719,0.8634230470077278,
exponential_multiplicative,yeojohnson_no_smear,linearized_ols,2,,,,24,9.21461584264302,4.653046951610417,84.90914512748775,0.8448394519314626,
exponential_multiplicative,yeojohnson_smear,linearized_ols,2,,,,24,8.522076266419987,4.3932047337853435,72.62578389067883,0.8672857156262093,
exponential_multiplicative,GD,nonlinear,2,False,5000.0,,24,8.635771731588893,4.468504685905234,74.57655340010983,0.863720935109526,
exponential_multiplicative,GN,nonlinear,2,True,18.0,,24,8.65801265705926,4.489739859805005,74.96118316979833,0.8630180736476806,
exponential_multiplicative,BFGS,nonlinear,2,True,15.0,,24,8.658012653741832,4.489739857676881,74.96118311235367,0.8630180737526534,
exponential_multiplicative,ZZU,zzu_hybrid,2,True,9.0,,24,8.68642754514181,4.483148050257302,75.45402349699836,0.8621174713019166,log_smear
exponential_multiplicative,identity,linearized_ols,3,,,,24,5.982699446604435,4.863094628110395,35.79269266840102,0.8435096491533078,
exponential_multiplicative,log_no_smear,linearized_ols,3,,,,24,3.309544339142766,2.4058656805650895,10.95308373275193,0.9521116801110421,
exponential_multiplicative,log_smear,linearized_ols,3,,,,24,3.460572219562704,2.4121056445416897,11.97556008680914,0.9476412792708137,
exponential_multiplicative,reciprocal_no_smear,linearized_ols,3,,,,24,90.52515977937044,31.085119904001143,8194.804553080548,-34.828761236614035,
exponential_multiplicative,reciprocal_smear,linearized_ols,3,,,,24,25.76864479326859,13.947818335909693,664.0230544816484,-1.9031959603828126,
